product_id,product_name,category,price,stock_quantity,rating,release_date,is_discontinued
157,Adjustable Desk,Office Furniture,102.48,90,4.8,22/06/2023,Yes
158,Paper Shredder,Office Supplies,30.73,683,4.3,23/07/2022,No
159,Paper Clips,Office Supplies,19.99,1411,4.9,06/12/2023,No
160,Calculator,Office Supplies,41.2,1757,3,14/04/2022,No
161,Label Maker,Office Supplies,32.9,954,3.9,16/09/2021,No
162,Pencil,Office Supplies,29.09,1409,4.3,27/02/2022,No
163,Calculator,Office Supplies,23.24,457,3.3,16/04/2021,No
164,Power Bank,Electronics,837.67,332,4.2,13/12/2023,No
165,Office Sofa,Office Furniture,160.68,93,3,08/07/2021,No
166,Scissors,Office Supplies,46.99,1191,3.5,05/08/2021,No
167,Scissors,Office Supplies,98.8,1269,3.6,27/10/2022,No
168,Plant Stand,Office Furniture,384.44,25,4.5,09/08/2022,No
169,Eraser,Office Supplies,76.82,1117,4,15/05/2021,Yes
170,Calculator,Office Supplies,24.21,737,3.6,05/02/2023,No
171,USB Cable,Electronics,1392.49,371,3.4,11/07/2022,No
172,Adjustable Desk,Office Furniture,96.7,58,3.8,01/12/2023,No
173,Coat Rack,Office Furniture,54.42,50,3.6,18/07/2022,No
174,Paper Shredder,Office Supplies,22.83,499,3.5,13/01/2022,No
175,Correction Fluid,Office Supplies,80.02,1533,3.3,20/03/2022,No
176,Laptop,Electronics,1189.91,99999,3.1,05/07/2023,No
177,Desktop Computer,Electronics,531.41,177,3.4,25/06/2022,No
178,Adjustable Desk,Office Furniture,239.2,15,3.9,02/09/2023,No
179,Smart Watch,Electronics,151.21,500,,07/04/2021,Yes
180,Paper Clips,Office Supplies,24.62,1019,4.3,15/04/2023,No
181,Filing Cabinet,Office Furniture,,100,4.4,04/05/2021,No
182,Speakers,Electronis,1157.96,474,4.9,07/12/2022,Yes
183,Ruler,Office Supplies,83.23,547,3.2,20/11/2022,Yes
184,Calendar,Office Supplies,5.07,1141,3.9,17/02/2022,No
185,HDMI Cable,Electronics,1647.33,64,3.9,27/11/2022,No
186,Paper Clips,Office Supplies,44.11,1552,4,20/05/2023,No
187,Floor Lamp,Office Furniture,376.68,98,4.2,27/04/2022,Yes
188,Floor Lamp,Office Furniture,232.9,64,4.1,11/07/2023,Yes
189,Cork Board,Office Furniture,186.38,32,3.7,09/06/2022,No
190,Paper Shredder,Office Supplies,28.35,70,4,08/02/2021,No
191,Plant Stand,Office Furniture,618.62,93,4,15/08/2023,Yes
192,Speakers,Electronics,454.87,364,3.5,12/10/2023,No
193,Scissors,Office Supplies,35.03,1577,4.1,15/12/2022,No
194,Storage Cabinet,Office Furniture,£222.90,97,3.4,18/12/2021,No
195,Mouse,Electronics,1481.13,151,,10/10/2023,Yes
196,Speakers,Electronics,466.55,101,3.6,05/09/2023,No
197,Desktop Computer,Electronics,1113.42,367,4.9,04/08/2023,Yes
198,Calculator,Office Supplies,,952,3.7,28/05/2021,No
199,Tablet,Electronic,810.4,47,4.2,05/01/2023,No
200,Calculator,Office Supplies,9.43,558,3.2,20/10/2022,No
